Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_20,EMA_5,EMA_20,MACD,MACD_Signal
2004-08-19,2.490664,2.591785,2.390042,2.499133,2.499133,897427216,,,2.499133,2.499133,0.0,0.0
2004-08-20,2.51582,2.716817,2.503118,2.697639,2.697639,458857488,,,2.5653016666666666,2.518038333333333,0.015835236467236502,0.0031670472934473004
2004-08-23,2.758411,2.826406,2.71607,2.724787,2.724787,366857939,,,2.6184634444444446,2.5377286825396825,0.030226954651341842,0.00857902876502621
2004-08-24,2.770615,2.779581,2.579581,2.61196,2.61196,306396159,,,2.61629562962963,2.5447983318216174,0.03215760616707897,0.013294744245436762
2004-08-25,2.614201,2.689918,2.587302,2.640104,2.640104,184645512,2.6347245999999998,,2.62423175308642,2.5538750621243205,0.03554886184274686,0.01774556776489878
2004-08-26,2.613952,2.688672,2.606729,2.687676,2.687676,142572401,2.6724332,,2.645379835390947,2.566618008588671,0.0415956306844496,0.022515580348808947
2004-08-27,2.692408,2.70536,2.632383,2.64384,2.64384,124826132,2.6616733999999997,,2.644866556927298,2.573972483961179,0.04236221447000643,0.026484907173048446
2004-08-30,2.622171,2.627402,2.540727,2.540727,2.540727,104429967,2.6248614,,2.6101533712848655,2.5708062473934477,0.034254515561596754,0.028038828850758108
2004-08-31,2.54795,2.583068,2.544463,2.549693,2.549693,98825037,2.612408,,2.5899999141899106,2.568795461927405,0.028227201424676274,0.028076503365541742
2004-09-01,2.557912,2.564637,2.482445,2.496891,2.496891,183633734,2.5837654,,2.5589636094599406,2.5619474179343187,0.018971143893758757,0.026255431471185146
2004-09-02,2.47049,2.549693,2.464263,2.528273,2.528273,303810504,2.5518848,,2.5487334063066274,2.5587403305120024,0.014006459003225391,0.023805636977593195
2004-09-03,2.514326,2.534002,2.473728,2.490913,2.490913,103538639,2.5212994,,2.5294599375377516,2.5522805847489547,0.0069768459522006054,0.02043987877251468
2004-09-07,2.51582,2.540478,2.480951,2.530017,2.530017,117506800,2.5191574,,2.529645625025168,2.5501602433442923,0.004509213550945912,0.017253745728200924
2004-09-08,2.509095,2.566132,2.503118,2.54795,2.54795,100186120,2.5188088,,2.5357470833501123,2.5499497439781695,0.0039550489795812105,0.014594006378476982
2004-09-09,2.553678,2.558161,2.515571,2.548199,2.548199,81620792,2.5290703999999997,,2.539897722233408,2.549783006456439,0.003495665922477187,0.012374338287277024
2004-09-10,2.530515,2.654052,2.523043,2.623417,2.623417,174804764,2.5480992000000002,,2.5677374814889387,2.556795767746302,0.009096210069504007,0.01171871264372242
2004-09-13,2.655795,2.700129,2.651561,2.677464,2.677464,157628624,2.5854094,,2.6043129876592923,2.568287980341892,0.017691881864815517,0.012913346487941041
2004-09-14,2.676219,2.789544,2.65978,2.776842,2.776842,217608605,2.6347744,,2.6618226584395286,2.5881502679283783,0.03215235541538952,0.01676114827343074
2004-09-15,2.753679,2.845086,2.744712,2.789544,2.789544,215279909,2.6830932,,2.704396438959686,2.607330623363771,0.04412864260839866,0.022234647140424325
2004-09-16,2.798012,2.884189,2.780827,2.83861,2.83861,186207345,2.7411754,2.62218395,2.749134292639791,2.6293572306624595,0.05692297995211382,0.029172313702762222
2004-09-17,2.849818,2.926282,2.828149,2.926282,2.926282,190350817,2.8017484,2.6435414,2.8081835284265275,2.6576357801231776,0.07329211627608245,0.03799627421742627
2004-09-20,2.912832,3.028648,2.908349,2.972857,2.972857,213585582,2.8608269999999996,2.6573023,2.8630746856176854,2.6876568486828747,0.08899708500539072,0.048196436375019164
2004-09-21,2.984065,2.999258,2.92678,2.934999,2.934999,145262446,2.8924584,2.6678129,2.887049457078457,2.7112132440464105,0.09726732449410358,0.05801061399883605
2004-09-22,2.92404,2.980578,2.909345,2.948448,2.948448,152344894,2.9242391999999997,2.6846373,2.907515638052305,2.733807030327705,0.10371125201951559,0.06715074160297196
2004-09-23,2.959906,3.054302,2.914575,3.009221,3.009221,171524515,2.9583614000000003,2.70309315,2.9414174253682033,2.7600369322012566,0.11242600718022899,0.07620579471842337
2004-09-24,3.012209,3.090914,2.98282,2.984563,2.984563,183336625,2.9700176,2.7179375,2.955799283578802,2.7814203672297086,0.11600557880551454,0.0841657515358416
2004-09-27,2.977838,3.010715,2.934003,2.94546,2.94546,141994242,2.9645382000000002,2.7330185,2.9523528557192016,2.797043189398308,0.11436875795574641,0.09020635281982256
